Question	Background Tags	ML Tags	Meta Tags	Joined
1.1		ml-rl-value_iter	meta--numerical	[TAGS: ml-rl-value_iter,meta--numerical]
1.2		ml-rl-value_iter	meta--numerical	[TAGS: ml-rl-value_iter,meta--numerical]
1.3		ml-rl-value_iter	meta--selectall	[TAGS: ml-rl-value_iter,meta--selectall]
2.1		ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-qlearning,meta--numerical]
2.2		ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-qlearning,meta--numerical]
2.3		ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-qlearning,meta--numerical]
2.4		ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-qlearning,meta--numerical]
2.5		ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-qlearning,meta--numerical]
3.1		ml-rl-	meta--numerical	[TAGS: ml-rl-,meta--numerical]
3.2		ml-rl-,ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-,ml-rl-qlearning,meta--numerical]
3.3		ml-rl-,ml-rl-qlearning	meta--numerical	[TAGS: ml-rl-,ml-rl-qlearning,meta--numerical]
3.4		ml-rl-qlearning	meta--reasoning,meta--expression	[TAGS: ml-rl-qlearning,meta--reasoning,meta--expression]
3.5	bkgrd-prob-rv	ml-opt-sgd,ml-rl-	meta--reasoning	[TAGS: bkgrd-prob-rv,ml-opt-sgd,ml-rl-,meta--reasoning]
4.1	bkgrd-cs-prog	ml-rl-qlearning	meta--plot	[TAGS: bkgrd-cs-prog,ml-rl-qlearning,meta--plot]
4.2	bkgrd-func-	ml-data-feature,ml-rl-qlearning	meta--reasoning	[TAGS: bkgrd-func-,ml-data-feature,ml-rl-qlearning,meta--reasoning]
4.3	bkgrd-geo-,bkgrd-func-	ml-data-feature,ml-rl-qlearning	meta--reasoning	[TAGS: bkgrd-geo-,bkgrd-func-,ml-data-feature,ml-rl-qlearning,meta--reasoning]
4.4	bkgrd-geo-,bkgrd-func-	ml-data-feature,ml-rl-qlearning	meta--reasoning	[TAGS: bkgrd-geo-,bkgrd-func-,ml-data-feature,ml-rl-qlearning,meta--reasoning]
5	ignore	ignore	ignore	[TAGS: ignore,ignore,ignore]
