Question	Background Tags	ML Tags	Meta Tags	Joined
1.1	bkgrd-prob-cond	ml-hmm-	meta--selectall	[TAGS: bkgrd-prob-cond,ml-hmm-,meta--selectall]
1.2	bkgrd-prob-cond	ml-hmm-	meta--selectall	[TAGS: bkgrd-prob-cond,ml-hmm-,meta--selectall]
1.3	bkgrd-prob-	ml-hmm-fb	meta--selectone	[TAGS: bkgrd-prob-,ml-hmm-fb,meta--selectone]
1.4	bkgrd-prob-,bkgrd-manip-	ml-hmm-fb	meta--selectone	[TAGS: bkgrd-prob-,bkgrd-manip-,ml-hmm-fb,meta--selectone]
1.5	bkgrd-prob-,bkgrd-manip-	ml-hmm-fb	meta--selectone	[TAGS: bkgrd-prob-,bkgrd-manip-,ml-hmm-fb,meta--selectone]
2.1		ml-hmm-vi	meta--numerical	[TAGS: ml-hmm-vi,meta--numerical]
2.2		ml-hmm-vi	meta--numerical	[TAGS: ml-hmm-vi,meta--numerical]
2.3		ml-hmm-vi	meta--selectone	[TAGS: ml-hmm-vi,meta--selectone]
3.1		ml-hmm-fb	meta--numerical	[TAGS: ml-hmm-fb,meta--numerical]
3.2		ml-hmm-fb	meta--numerical	[TAGS: ml-hmm-fb,meta--numerical]
3.3		ml-hmm-fb	meta--numerical	[TAGS: ml-hmm-fb,meta--numerical]
3.4	bkgrd-prob-mle	ml-hmm-fb	meta--numerical	[TAGS: bkgrd-prob-mle,ml-hmm-fb,meta--numerical]
3.5	bkgrd-cs-prog	ml-hmm-fb	meta--numerical	[TAGS: bkgrd-cs-prog,ml-hmm-fb,meta--numerical]
3.6	bkgrd-cs-prog	ml-hmm-fb	meta--plot	[TAGS: bkgrd-cs-prog,ml-hmm-fb,meta--plot]
4	ignore	ignore	ignore	[TAGS: ignore,ignore,ignore]
